Divorce_date;DOB_partner_man;Age_partner_man;Monthly_income_partner_man_peso;DOB_partner_woman;Age_partner_woman;Monthly_income_partner_woman_peso;Date_of_marriage;Marriage_duration;Season;Zodiac_man;Zodiac_woman;Level_of_education_partner_woman;Level_of_education_partner_man;Employment_status_partner_woman;Employment_status_partner_man;Age_Gap;Year_divorce;Month_divorce;Compatibility_rate
02/09/2003;01/07/1973;30;5000.0;26/02/2071;32;1000.0;27/05/2002;1;Summer;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2003;9;0.98
04/10/2011;01/07/1973;38;8400.0;11/03/1978;33;4000.0;10/02/1998;13;Autumn;Cancer;Pisces;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;5;2011;10;0.98
08/08/2014;07/07/1983;31;5000.0;09/03/1986;28;5000.0;21/12/2012;1;Summer;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;3;2014;8;0.98
10/12/2007;09/07/1974;33;3600.0;13/03/1976;31;2000.0;09/03/1996;7;Autumn;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2007;12;0.98
11/08/2008;10/07/2069;39;9000.0;21/02/1981;27;8000.0;30/03/2007;1;Summer;Cancer;Pisces;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;12;2008;8;0.98
17/07/2000;21/06/2071;29;3000.0;21/02/1979;21;2300.0;15/01/1994;6;Summer;Cancer;Pisces;MIDDLE SCHOOL    ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;8;2000;7;0.98
17/08/2009;26/06/2066;43;10000.0;19/02/2071;38;6000.0;27/04/1992;17;Summer;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;5;2009;8;0.98
17/09/2008;03/07/2069;39;9000.0;20/03/2069;39;7000.0;09/12/1995;13;Summer;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2008;9;0.98
18/06/2008;04/07/2068;39;6000.0;12/03/2067;41;8000.0;24/07/1997;9;Spring;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2008;6;0.98
19/03/2013;05/07/1984;28;10000.0;01/03/1984;29;14000.0;19/03/2011;2;Winter;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;1;2013;3;0.98
20/11/2008;10/07/2067;41;1530.0;24/02/2068;40;8000.0;27/01/1992;1;Autumn;Cancer;Pisces;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;1;2008;11;0.98
21/11/2006;30/06/2071;35;7500.0;16/03/1983;23;3000.0;14/03/2005;1;Autumn;Cancer;Pisces;MIDDLE SCHOOL    ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;12;2006;11;0.98
21/12/2004;27/06/2072;32;3000.0;15/03/2072;32;4600.0;18/07/1992;12;Winter;Cancer;Pisces;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;0;2004;12;0.98
22/06/2001;25/06/2066;34;4000.0;04/03/2057;44;15000.0;25/07/1997;3;Summer;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;10;2001;6;0.98
26/02/2008;18/07/1973;34;7000.0;10/03/1973;34;5000.0;18/05/2004;4;Winter;Cancer;Pisces;COLLEGE          ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;0;2008;2;0.98
27/08/2008;14/07/2063;45;5000.0;16/03/2062;46;8000.0;07/10/1998;9;Summer;Cancer;Pisces;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;1;2008;8;0.98
28/01/2005;06/07/1976;28;1200.0;12/03/2070;34;2400.0;30/07/1999;5;Winter;Cancer;Pisces;COLLEGE          ;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;6;2005;1;0.98
28/11/2011;01/07/1973;38;12000.0;17/03/1974;37;8000.0;06/04/1990;21;Autumn;Cancer;Pisces;MIDDLE SCHOOL    ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;1;2011;11;0.98
30/12/2010;01/07/2072;38;6000.0;25/02/2070;40;5000.0;23/08/2001;9;Winter;Cancer;Pisces;HIGH SCHOOL      ;COLLEGE          ;EMPLOYED  ;EMPLOYED  ;2;2010;12;0.98
01/04/2002;09/05/2068;33;2000.0;07/06/2067;34;3400.0;26/05/1989;12;Spring;Taurus;Gemini;HIGH SCHOOL      ;ELEMENTARY SCHOOL;EMPLOYED  ;EMPLOYED  ;1;2002;4;0.33
02/04/2001;26/04/2070;30;2500.0;30/05/2071;29;2000.0;28/11/1992;8;Spring;Taurus;Gemini;HIGH SCHOOL      ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;1;2001;4;0.33
04/09/2003;15/05/1976;27;18000.0;16/06/1977;26;8000.0;24/03/1997;6;Summer;Taurus;Gemini;COLLEGE          ;MIDDLE SCHOOL    ;EMPLOYED  ;EMPLOYED  ;1;2003;9;0.33
07/02/2006;29/04/2069;36;2800.0;16/06/2071;34;2800.0;05/12/1995;10;Winter;Taurus;Gemini;MIDDLE SCHOOL    ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;2;2006;2;0.33
13/02/2002;08/05/2065;36;1400.0;23/05/2068;33;7000.0;14/12/1990;11;Winter;Taurus;Gemini;HIGH SCHOOL      ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;3;2002;2;0.33
13/04/2011;15/05/2069;41;8000.0;14/06/1976;34;6000.0;26/05/2000;11;Spring;Taurus;Gemini;COLLEGE          ;HIGH SCHOOL      ;EMPLOYED  ;EMPLOYED  ;7;2011;4;0.33
